,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
npv,0.8101800000000001,0.8129200000000001,0.77376,0.8101600000000001,0.80608,0.8013999999999999,0.8047000000000001,0.7851400000000001,0.8037599999999999,0.8109,0.80572,0.81028,0.79362,0.80822,0.8136000000000001
gmean_sens_spec,0.8066000000000001,0.7962199999999999,0.77044,0.79606,0.81336,0.80976,0.81946,0.79194,0.7956,0.80952,0.7915599999999999,0.8068,0.7988799999999999,0.8084200000000001,0.8127000000000001
gmean_all_metrics,0.8098599999999999,0.80092,0.7789999999999999,0.8001799999999999,0.8202,0.8164999999999999,0.8297599999999999,0.80304,0.80006,0.81742,0.7968,0.8100000000000002,0.8073,0.8132999999999999,0.82014
roc_auc,0.89484,0.89194,0.8673,0.8823599999999999,0.9003,0.89842,0.8866200000000001,0.8963999999999999,0.8924200000000001,0.9081800000000001,0.7953600000000001,0.8826600000000001,0.89008,0.8957599999999999,0.90388
accuracy,0.8117000000000001,0.8018599999999999,0.7814400000000001,0.8017,0.82194,0.81852,0.8320000000000001,0.8051600000000001,0.8015000000000001,0.8185399999999999,0.79838,0.8119400000000001,0.8086,0.8151999999999999,0.8219200000000001
sensitivity,0.73098,0.81824,0.75264,0.7296199999999999,0.73808,0.7523799999999999,0.73042,0.745,0.7312200000000001,0.75292,0.73704,0.73094,0.73784,0.71562,0.70106
specificity,0.825,0.8,0.8125199999999999,0.8,0.8687400000000001,0.8624600000000001,0.8499800000000001,0.8187599999999999,0.83126,0.84376,0.8,0.8125,0.83748,0.85,0.85626
ppv,0.78576,0.77956,0.7795599999999999,0.76254,0.8348800000000001,0.8305,0.80988,0.77952,0.7886200000000001,0.8113199999999999,0.76388,0.77496,0.80532,0.8090999999999999,0.8148199999999999
npv,0.784,0.84062,0.79364,0.77778,0.7987599999999999,0.80372,0.7862600000000001,0.79354,0.7890199999999999,0.8006800000000001,0.7824800000000001,0.7787200000000001,0.7881199999999999,0.7768400000000001,0.76944
gmean_sens_spec,0.77468,0.80756,0.7806200000000001,0.7619999999999999,0.79794,0.80404,0.78744,0.77874,0.7766400000000001,0.7952600000000001,0.7659799999999999,0.76912,0.784,0.7790000000000001,0.7735000000000001
